,posx,posy,posz,velx,vely,velz,angx,angy,angz,gyrx,gyry,gryz,accx,accy,accz,tposx,tposy,tposz,tvelx,tvely,tvelz
10131,76.431,94.171,135.217,22.358665430954336,27.282205746061372,-1.5639481000919144,0.030372456797465495,0.05171846666886837,0.9911543217618668,-8.89,-49.1,0.19,-4.11,-0.93,-100.33,133.91292358173985,140.33432914534595,156.55499271984317,92.91892322019848,67.31208692986546,33.62011109320882
10132,76.711,94.35,135.464,8.559550012227964,5.4719980435310545,7.550745903643485,0.026639294439716684,0.06053177307474819,0.9912581687595352,1.02,40.33,-2.8,-3.38,-0.99,-101.92,134.84457551116896,140.92133934049508,156.50225663809638,101.04449249397189,79.23715569181448,28.534021695609745
10133,77.14399999999998,96.78,135.537,13.262274495390578,74.42800698336877,2.2359030904471044,0.026639294439716684,0.06053177307474819,0.9912581687595352,1.02,40.33,-2.8,-3.38,-0.99,-101.92,135.757591278967,141.49760319342204,156.4428240289412,99.22357482494871,42.40059480757685,30.83565458810986
10134,78.109,102.951,134.15,26.06699081577497,166.69367909238233,-37.46623446785522,0.026639294439716684,0.06053177307474819,0.9912581687595352,1.02,40.33,-2.8,-3.38,-0.99,-101.92,136.35584985795106,141.87578666173695,156.39948397580764,85.9464329617442,-25.780332916348648,55.08658904501456
10135,79.283,107.778,132.975,33.13202009369551,136.2250945419657,-33.16024157588789,0.03023710719156885,0.02133929574363896,0.9912173223596252,3.13,25.4,-1.02,-3.53,-3.28,-103.73,137.5271901532449,142.61771289199206,156.30388567582784,91.40348297000207,-6.577757305746545,52.81737601135292
10136,80.146,108.975,133.034,25.471503202384802,35.3295357279888,1.7413889790737431,0.03023710719156885,0.02133929574363896,0.9912173223596252,3.13,25.4,-1.02,-3.53,-3.28,-103.73,138.1001968639852,142.98142997875138,156.2516301575611,86.63818973756105,40.89085136802922,34.78284657336976
10137,81.139,107.814,134.31799999999998,29.21963276836144,-34.163135593220375,37.78248587570681,0.03023710719156885,0.02133929574363896,0.9912173223596252,4.72,8.86,-0.49,-1.77,-5.1,-107.27,139.49548515412906,143.86948779711622,156.10800536383948,97.65400604414025,87.34298311694558,12.795936515403929
10138,82.071,105.11,135.252,23.48671941938416,-68.14172672748333,23.537120104833363,0.03090805598958129,0.010785555789911798,0.9912088645330072,4.72,8.86,-0.49,-1.77,-5.1,-107.27,140.5731305557637,144.55799168082717,155.97976152900543,94.03302599706856,112.8209051945633,16.60892807802734
10139,82.986,105.45,135.192,25.3133040086316,9.406036462223794,-1.6598887874513035,0.03090805598958129,0.010785555789911798,0.9912088645330072,4.72,8.86,-0.49,-1.77,-5.1,-107.27,141.35867530416778,145.06150740505953,155.87580350534358,89.70327145360491,64.64280248942835,31.81420114846129
10140,83.695,105.606,135.35,18.783944893363067,4.132997748045879,4.185984898661731,0.03646290789601776,-0.01510554206192421,0.9911518755993518,-1.64,20.08,-0.61,-2.16,-0.94,-100.95,142.12464665687668,145.55395503986014,155.76518782272538,92.58911554193008,67.76500393459023,28.02260964240644
10141,84.681,108.022,135.345,29.160382101558696,71.45180847603025,-0.14787212019032478,0.03646290789601776,-0.01510554206192421,0.9911518755993518,-1.64,20.08,-0.61,-2.16,-0.94,-100.95,142.87093490949528,146.03529655637456,155.64792089407354,87.76252159718649,30.66099834122376,30.191581873917734
