posx,posy,posz,velx,vely,velz,angx,angy,angz,gyrx,gyry,gryz,accx,accy,accz,tposx,tposy,tposz,tvelx,tvely,tvelz,tangx,tangy,tangz,tgyrx,tgyry,tgryz,taccx,taccy,taccz
62.256,132.306,113.358,-36.319467354467164,-24.442911555648795,0.059982605044823493,0.019640280548589246,-0.0007988060070288209,-0.0629229618152115,-7.41,17.2,-0.66,-0.89,0.94,-97.25,24.46354612040618,114.38450273562843,135.6949152365758,-74.04097264423572,-32.5678085323641,49.294863236446034,0.0,0.0,-0.0629229618152115,0.0,0.0,0.0,0.0,0.0,-97.25
61.071,131.664,113.308,-43.33516182117397,-23.477783872738136,-1.8284878405557563,0.005976352019974862,-0.021912758723433158,-0.06374204032917023,-9.43,18.85,-0.86,-0.04,0.56,-100.23,23.253746302986947,113.73629997852302,136.06200387702077,-74.49381450743402,-35.23133339867562,50.85417720563508,0.0,0.0,-0.06374204032917023,0.0,0.0,0.0,0.0,0.0,-100.23
59.564,131.069,113.169,-43.60153921823909,-17.214940832682313,-4.0216416399042325,0.005976352019974862,-0.021912758723433158,-0.06374204032917023,-9.43,18.85,-0.86,-0.04,0.56,-100.23,22.043076912025068,113.08436272582266,136.42653976619553,-69.09605011685915,-36.103947847893046,53.137816279364806,0.0,0.0,-0.06374204032917023,0.0,0.0,0.0,0.0,0.0,-100.23
58.686,130.388,113.193,-13.319376810934633,-10.33086060164722,0.36408319300961645,0.0055712796977404454,-0.02690999559558847,-0.06437642918634265,6.63,-6.59,-2.05,-1.68,2.41,-104.29,19.619447187660565,111.76937874591405,137.1479238152172,-99.75488937765283,-46.00225735663778,57.41241141315092,0.0,0.0,-0.06437642918634265,0.0,0.0,0.0,0.0,0.0,-104.29
57.668,129.936,112.966,-29.756511063692987,-13.212124755195644,-6.635292742100607,0.0055712796977404454,-0.02690999559558847,-0.06437642918634265,6.63,-6.59,-2.05,-1.68,2.41,-104.29,18.406645867734753,111.10637935798708,137.50475736706287,-79.874273898127,-40.07104727724996,56.85346771712809,0.0,0.0,-0.06437642918634265,0.0,0.0,0.0,0.0,0.0,-104.29
56.524,129.379,113.003,-35.2086667487381,-17.142681275391368,1.1387418441464403,0.0055712796977404454,-0.02690999559558847,-0.06437642918634265,6.63,-6.59,-2.05,-1.68,2.41,-104.29,17.193292990787075,110.43974015132191,137.85900895192836,-78.12847889227257,-38.76553740338628,53.476551318761906,0.0,0.0,-0.06437642918634265,0.0,0.0,0.0,0.0,0.0,-104.29
55.303,128.631,112.835,-34.44190572903454,-21.099545852020828,-4.738935432004918,0.00858353613639794,-0.0205329786927583,-0.06638481548318052,-0.48,-5.35,-1.93,-0.89,-0.08,-102.65,15.979468164468797,109.7694851248596,138.21067139623233,-76.96649479241519,-35.80239455221004,57.531252601175005,0.0,0.0,-0.06638481548318052,0.0,0.0,0.0,0.0,0.0,-102.65
54.224,127.925,112.873,-15.803271965669268,-10.340231703209032,0.5565563806261393,0.013062056988961493,-0.015625988988946505,-0.06702107444443448,5.99,-5.85,-0.37,-1.4,1.0,-102.59,13.550721243894865,108.41822425827579,138.90620043111716,-99.96583017057509,-47.91219345253663,60.88800836826187,0.0,0.0,-0.06702107444443448,0.0,0.0,0.0,0.0,0.0,-102.59
53.223,127.69,112.663,-47.27049489988655,-11.097468832640699,-9.916887041934642,0.013062056988961493,-0.015625988988946505,-0.06702107444443448,5.99,-5.85,-0.37,-1.4,1.0,-102.59,12.335958498857687,107.73726706339959,139.2500529372599,-73.04344503852201,-40.0147121447179,57.50808343275215,0.0,0.0,-0.06702107444443448,0.0,0.0,0.0,0.0,0.0,-102.59
51.858,126.237,112.544,-37.46706192358372,-39.88252086078181,-3.266359244620108,0.013062056988961493,-0.015625988988946505,-0.06702107444443448,5.99,-5.85,-0.37,-1.4,1.0,-102.59,11.121042492419226,107.0527913374639,139.5912881342469,-86.70425948768037,-31.186984101829353,62.49020554853485,0.0,0.0,-0.06702107444443448,0.0,0.0,0.0,0.0,0.0,-102.59
